benchmark,program,uintr 200,uintr 100,uintr 50,uintr 30,uintr 20,uintr 15,uintr 10,uintr 5,uintr 3,concord 200,concord 100,concord 50,concord 30,concord 20,concord 15,concord 10,concord 5,concord 3,signal 200,signal 100,signal 50,signal 30,signal 20,signal 15,signal 10,signal 5,signal 3
splash2,water-nsquared,0.00%,1.30%,0.60%,1.10%,1.20%,2.40%,3.80%,6.20%,11.80%,0.70%,0.50%,0.70%,1.30%,1.20%,1.40%,1.90%,3.30%,4.40%,1.00%,2.70%,5.10%,8.30%,12.60%,16.60%,24.50%,48.70%,80.10%
splash2,water-spatial,0.30%,1.60%,1.30%,1.20%,1.90%,2.50%,4.00%,9.30%,12.20%,0.60%,1.40%,1.50%,1.70%,1.80%,2.40%,2.30%,3.50%,4.40%,1.00%,2.60%,5.10%,8.30%,12.20%,16.20%,24.00%,47.60%,79.90%
splash2,ocean-cp,0.10%,0.30%,0.30%,1.30%,1.90%,2.00%,3.80%,6.10%,11.30%,1.70%,1.90%,1.70%,2.10%,2.40%,2.40%,3.70%,3.90%,5.40%,1.60%,2.40%,4.80%,8.60%,11.10%,15.70%,24.00%,47.70%,80.30%
splash2,volrend,0.20%,0.30%,0.80%,1.20%,1.90%,2.50%,3.70%,7.80%,12.20%,2.00%,2.10%,2.20%,2.40%,2.60%,2.80%,3.30%,4.60%,6.70%,0.50%,1.80%,4.20%,7.30%,11.10%,15.10%,22.70%,45.30%,76.10%
splash2,fmm,0.70%,0.50%,0.60%,1.50%,1.60%,2.80%,4.10%,7.30%,11.70%,-2.00%,-1.90%,-1.70%,-1.80%,-1.70%,-1.10%,-0.80%,0.70%,2.70%,1.70%,3.70%,5.20%,9.60%,13.40%,17.90%,24.20%,47.60%,76.70%
splash2,raytrace,0.20%,0.50%,0.30%,1.00%,1.70%,2.50%,3.90%,7.10%,12.10%,1.90%,1.80%,1.80%,2.00%,2.20%,2.10%,3.00%,3.90%,6.30%,1.40%,2.80%,5.50%,8.70%,12.60%,17.10%,25.40%,52.10%,90.70%
splash2,radix,0.00%,0.30%,0.60%,1.10%,1.70%,2.20%,3.30%,6.50%,10.70%,-0.80%,-0.70%,-0.60%,-0.40%,-0.40%,-0.10%,0.00%,-0.20%,0.70%,0.80%,2.30%,4.70%,7.40%,11.10%,15.00%,22.60%,43.70%,71.10%
splash2,fft,0.00%,0.50%,0.80%,1.20%,1.90%,2.60%,3.60%,7.30%,12.10%,2.30%,2.40%,2.50%,2.70%,2.70%,3.00%,3.20%,4.40%,5.20%,1.40%,2.50%,5.20%,8.20%,12.20%,15.70%,23.00%,43.00%,67.20%
splash2,lu-c,0.10%,0.50%,0.70%,1.20%,1.80%,2.60%,3.80%,7.40%,12.50%,0.20%,0.30%,0.40%,0.50%,0.80%,0.80%,1.00%,1.60%,2.00%,3.20%,3.60%,5.70%,9.40%,13.40%,17.20%,25.60%,49.60%,85.70%
splash2,lu-nc,0.10%,0.50%,0.70%,1.40%,1.60%,2.50%,3.30%,6.30%,10.90%,-0.90%,-0.80%,-0.80%,-0.60%,-0.70%,-0.70%,-0.70%,-0.40%,-0.50%,0.00%,1.10%,3.20%,6.50%,10.20%,14.00%,21.30%,44.30%,73.40%
splash2,cholesky,0.20%,0.30%,0.90%,1.20%,2.00%,2.50%,3.50%,7.70%,12.30%,6.60%,6.80%,6.90%,7.40%,7.30%,7.70%,6.90%,9.60%,11.30%,1.30%,2.30%,4.80%,8.10%,12.00%,16.20%,23.90%,46.90%,76.30%
splash2,radiosity,-0.20%,0.20%,0.50%,1.30%,1.80%,1.30%,3.90%,8.50%,13.60%,6.10%,6.20%,6.50%,6.70%,7.10%,7.40%,8.10%,9.80%,12.10%,4.70%,6.00%,8.60%,12.20%,16.40%,20.90%,29.50%,55.20%,90.10%
phoenix,histogram,0.60%,0.40%,0.70%,1.20%,1.80%,2.40%,3.50%,6.80%,11.30%,3.90%,3.40%,3.60%,4.10%,3.80%,4.00%,4.90%,5.50%,7.10%,1.20%,2.40%,4.80%,8.40%,11.40%,15.60%,22.50%,45.70%,74.10%
phoenix,kmeans,0.70%,0.00%,0.00%,1.40%,2.10%,2.10%,2.80%,7.10%,11.40%,0.00%,-0.80%,0.00%,-0.80%,0.00%,0.00%,0.00%,0.70%,0.00%,1.40%,0.70%,5.00%,6.40%,11.40%,15.00%,23.70%,44.20%,70.70%
phoenix,pca,0.20%,0.50%,0.90%,1.30%,2.20%,2.80%,4.10%,7.90%,13.20%,7.60%,7.60%,7.90%,8.20%,8.40%,8.60%,9.20%,10.70%,12.00%,1.90%,3.30%,5.80%,9.20%,13.50%,17.80%,26.30%,51.20%,83.40%
phoenix,string_match,0.10%,0.30%,0.70%,1.20%,1.80%,2.40%,3.50%,7.00%,11.90%,4.30%,4.40%,4.50%,4.70%,4.90%,5.20%,5.60%,7.10%,8.80%,0.90%,2.30%,4.30%,7.40%,11.20%,15.00%,22.80%,45.30%,74.60%
phoenix,linear_regression,0.20%,0.30%,0.70%,1.10%,1.70%,2.20%,3.40%,6.90%,11.00%,0.00%,0.00%,0.10%,0.30%,0.50%,0.70%,1.00%,2.50%,3.70%,1.10%,2.40%,4.70%,7.80%,11.80%,15.10%,22.40%,44.00%,72.00%
phoenix,word_count,0.10%,0.20%,0.60%,1.00%,1.60%,2.20%,3.30%,6.70%,11.20%,1.80%,1.70%,1.90%,2.00%,2.10%,2.20%,2.40%,3.00%,3.80%,1.40%,2.50%,5.00%,8.40%,12.40%,16.40%,24.10%,47.30%,78.00%
phoenix,matrix_multiply,0.10%,0.30%,0.60%,1.10%,1.70%,2.30%,3.40%,7.00%,11.50%,24.70%,24.20%,24.00%,24.00%,24.20%,24.30%,24.80%,25.80%,27.80%,1.20%,2.40%,4.90%,8.10%,12.10%,16.10%,24.20%,47.90%,79.70%
phoenix,reverse_index,0.50%,0.60%,1.00%,1.50%,2.40%,3.10%,4.10%,8.20%,13.40%,15.00%,15.30%,15.60%,15.90%,15.80%,16.00%,16.20%,17.60%,18.20%,1.00%,2.20%,5.20%,8.70%,13.30%,18.20%,27.20%,54.60%,85.10%
parsec,blackscholes,-0.10%,0.00%,0.60%,1.00%,1.80%,2.40%,3.90%,7.80%,12.70%,-0.40%,-0.40%,-0.10%,0.00%,0.10%,0.40%,0.50%,1.50%,3.50%,1.40%,2.80%,5.80%,9.70%,14.50%,19.40%,30.00%,59.80%,96.80%
parsec,fluidanimate,0.00%,0.30%,0.50%,1.00%,1.50%,2.50%,3.70%,7.70%,12.80%,-0.40%,1.40%,0.00%,-0.20%,0.10%,0.20%,0.20%,0.90%,1.80%,0.80%,2.10%,4.60%,7.40%,12.50%,17.30%,26.50%,55.90%,91.40%
parsec,swaptions,-0.10%,0.10%,0.30%,1.10%,1.40%,2.00%,3.10%,7.30%,11.60%,5.60%,5.70%,5.90%,5.70%,5.70%,6.10%,6.60%,7.20%,7.90%,2.60%,3.80%,7.40%,12.00%,17.40%,23.00%,34.10%,65.50%,102.10%
parsec,canneal,0.70%,-0.70%,0.50%,1.20%,2.40%,3.10%,4.00%,7.20%,13.20%,-1.30%,-0.40%,-0.20%,0.00%,-1.10%,-0.20%,0.80%,0.90%,3.30%,-0.20%,0.90%,5.10%,8.40%,12.50%,17.90%,28.70%,58.50%,95.20%
parsec,streamcluster,0.40%,0.60%,-0.50%,1.30%,1.80%,2.40%,3.20%,6.60%,11.90%,5.00%,4.10%,4.90%,5.10%,6.20%,5.60%,5.50%,7.00%,9.70%,0.40%,3.30%,6.10%,10.90%,16.30%,21.10%,31.50%,60.80%,100.70%
